segment_id,direction_1,year,month,v,TTI
901268797,TRUE,2019,1,29.52,1.32
901268797,TRUE,2019,2,30.87,1.26
901268797,TRUE,2019,3,29.24,1.33
901268797,TRUE,2019,4,29.98,1.3
901268797,TRUE,2019,5,28.69,1.36
901268797,TRUE,2019,6,29.7,1.31
901268797,TRUE,2019,7,27.62,1.41
901268797,TRUE,2019,8,28.99,1.35
901268797,TRUE,2019,9,30.99,1.26
901268797,TRUE,2019,10,29.19,1.34
901268799,TRUE,2017,10,25.13,1.31
901268799,TRUE,2017,11,24.36,1.35
901268799,TRUE,2017,12,24.4,1.35
901268799,TRUE,2018,1,25.68,1.28
901268799,TRUE,2018,2,17.04,1.94
901268799,TRUE,2018,3,24.47,1.35
901268799,TRUE,2018,4,23.92,1.38
901268799,TRUE,2018,5,24.75,1.33
901268799,TRUE,2018,6,25.36,1.3
901268799,TRUE,2018,7,25.27,1.31
901268799,TRUE,2018,8,25.8,1.28
901268799,TRUE,2018,9,25.27,1.31
901268799,TRUE,2018,10,24.7,1.34
901268799,TRUE,2018,11,25.25,1.31
901268799,TRUE,2018,12,24.92,1.32
901268799,TRUE,2019,1,24.98,1.32
901268799,TRUE,2019,2,25.46,1.3
901268799,TRUE,2019,3,24.95,1.32
901268799,TRUE,2019,4,25.54,1.29
901268799,TRUE,2019,5,25.32,1.3
901268799,TRUE,2019,6,25.15,1.31
901268799,TRUE,2019,7,26.67,1.24
901268799,TRUE,2019,8,27.83,1.19
901268799,TRUE,2019,9,27.14,1.22
901268799,TRUE,2019,10,26,1.27
901268800,TRUE,2017,10,25.57,1.33
901268800,TRUE,2017,11,24.91,1.37
901268800,TRUE,2017,12,25.09,1.36
901268800,TRUE,2018,1,26.27,1.29
901268800,TRUE,2018,2,19.76,1.72
901268800,TRUE,2018,3,22.23,1.53
901268800,TRUE,2018,4,24.66,1.38
901268800,TRUE,2018,5,25.31,1.34
901268800,TRUE,2018,6,25.82,1.32
901268800,TRUE,2018,7,25.83,1.32
901268800,TRUE,2018,8,26.45,1.29
901268800,TRUE,2018,9,25.96,1.31
901268800,TRUE,2018,10,25.28,1.34
901268800,TRUE,2018,11,25.86,1.31
901268800,TRUE,2018,12,25.45,1.34
901268800,TRUE,2019,1,25.38,1.34
901268800,TRUE,2019,2,26,1.31
901268800,TRUE,2019,3,25.51,1.33
901268800,TRUE,2019,4,26.15,1.3
901268800,TRUE,2019,5,25.97,1.31
901268800,TRUE,2019,6,25.87,1.31
901268800,TRUE,2019,7,27.16,1.25
901268800,TRUE,2019,8,28.45,1.2
901268800,TRUE,2019,9,27.81,1.22
901268800,TRUE,2019,10,26.29,1.29
901268803,TRUE,2017,10,34.63,1.33
901268803,TRUE,2017,11,34.99,1.31
901268803,TRUE,2017,12,36.46,1.26
901268803,TRUE,2018,1,34.57,1.33
901268803,TRUE,2018,2,42.97,1.07
901268803,TRUE,2018,3,27.82,1.65
901268803,TRUE,2018,4,35.37,1.3
901268803,TRUE,2018,5,34.72,1.32
901268803,TRUE,2018,6,33.37,1.38
901268803,TRUE,2018,7,32.55,1.41
901268803,TRUE,2018,8,32.68,1.41
901268803,TRUE,2018,9,33.19,1.39
901268803,TRUE,2018,10,33.35,1.38
901268803,TRUE,2018,11,31.6,1.46
901268803,TRUE,2018,12,32.3,1.42
901268803,TRUE,2019,1,32.51,1.41
901268803,TRUE,2019,2,33.72,1.36
901268803,TRUE,2019,3,34.03,1.35
901268803,TRUE,2019,4,34.09,1.35
901268803,TRUE,2019,5,33.6,1.37
901268803,TRUE,2019,6,33.91,1.36
901268803,TRUE,2019,7,35.49,1.3
901268803,TRUE,2019,8,32.52,1.41
901268803,TRUE,2019,9,33.25,1.38
901268803,TRUE,2019,10,33.35,1.38
